 Flow Duration, Bwd Packet Length Std, Flow IAT Std, Packet Length Std, SYN Flag Count, ACK Flag Count, Average Packet Size
60130920,879.8869246,22700000,503.8834191,0,0,218.625
60130912,929.5387745,22700000,532.3326289,0,0,229
60166984,1417.910758,20000000,960.7303945,0,0,483
2979847,0,2085777.621,0,0,1,0
28315,0,0,0,0,1,9
28466,0,0,0,0,1,9
50486,0,0,0,0,1,0
51273,0,0,0,0,1,0
50722,0,0,0,0,1,0
50641,0,0,0,0,1,0
51022,0,0,0,0,1,0
51245,0,0,0,0,1,0
50534,0,0,0,0,1,0
50884,0,0,0,0,1,0
50408,0,0,0,0,1,0
83784,0,0,0,0,1,0
50905,0,0,0,0,1,0
46728,0,0,0,0,1,0
50833,0,0,0,0,1,0
50448,0,0,0,0,1,0
4024829,0,2775420.279,0,0,1,0
4942446,0,3423935.485,0,0,1,0
4910442,0,3401677.178,0,0,1,0
4920527,0,3408809.764,0,0,1,0
49920,0,0,0,0,1,0
50075,0,0,0,0,1,0
49961,0,0,0,0,1,0
50133,0,0,0,0,1,0
116038005,262.4918684,4779672.047,200.5592537,0,0,71.57575758
6053842,0,3482013.72,3.286335345,0,0,3
6053454,0,3481821.64,3.286335345,0,0,3
46408210,505.8755886,4490922.217,373.6023584,0,0,153.1176471
67509592,614.3869773,3583571.831,503.7395916,0,0,347.3513514
117,0,0,0,0,1,9
109869486,880.4642715,41500000,504.4353279,0,0,212.625
114168519,237.3162947,2294575.997,577.1900611,1,1,399.6730769
47374,428.0093457,11974.96453,319.3698036,0,0,187.7142857
32594,0,0,0,0,1,9
619704,427.5093566,230135.7724,319.0586321,0,0,187.5714286
865239,0,0,0,0,1,9
3373903,3.464101615,945678.7478,2.927700219,0,0,2
306836,427.5093566,102733.1694,319.0586321,0,0,187.5714286
263099,428.0093457,85063.0828,319.3698036,0,0,187.7142857
454056,0,0,0,0,1,9
468718,0,0,0,0,1,9
327374,0,0,0,0,1,9
752039,427.5093566,284166.5076,319.0586321,0,0,187.5714286
1415449,0,0,0,0,1,9
282078,428.0093457,92770.78583,319.3698036,0,0,187.7142857
112543,0,0,0,0,1,9
358901,428.0093457,124040.3006,319.3698036,0,0,187.7142857
126941,0,0,0,0,1,9
240540,427.5093566,76066.49748,318.937074,0,0,187.4285714
327216,0,0,0,0,1,9
360790,525.39731,80992.44971,320.2915772,0,0,173
122500,0,35391.64944,3.286335345,0,0,3
6803846,0,3873591.919,3.286335345,0,0,3
394652,1043.27625,69149.58436,601.2094292,0,0,283
278645,0,110588.2877,3.286335345,0,0,3
618794,1022.491728,118724.334,589.551336,0,0,278.5
36612139,683.7435818,4419255.296,471.8807658,0,0,163.0714286
31720024,933.7180755,3248383.804,681.4552102,0,0,422.3809524
5939144,0,3373556.866,3.286335345,0,0,3
5939028,0,3374271.596,3.286335345,0,0,3
191,0,0,0,0,1,9
5508767,0,3094409.531,3.286335345,0,0,3
5599253,0,3141513.536,3.286335345,0,0,3
19778120,560.8766947,4095440.718,413.6086937,0,0,206.3636364
25956160,755.1017591,4110778.49,516.5351528,0,0,193.1666667
161,0,0,0,0,1,9
77,0,0,0,0,1,9
82749413,855.8692268,3621473.667,664.0471783,0,0,427.8222222
5441673,0,3109573.337,3.286335345,0,0,3
5441780,0,3109844.493,3.286335345,0,0,3
51182369,462.8406253,4662118.707,327.6590726,0,0,104.1111111
80624175,418.7458331,4964756.666,298.6898665,0,0,85.72727273
6041907,0,3456127.471,3.286335345,0,0,3
76270321,774.5340038,4363378.431,555.8709454,0,0,247.1111111
91219040,641.4855184,4646953,460.1967452,0,0,160
72263056,697.1723296,4327191.725,511.2627084,0,0,226.4
5701117,0,3259542.745,3.286335345,0,0,3
5700472,0,3259244.002,3.286335345,0,0,3
5773979,0,3299906.042,3.286335345,0,0,3
52028276,601.5056109,4646528.224,419.7125165,0,0,127.2222222
112999080,607.6963606,4772538.057,430.1988596,0,0,136.8484848
118295774,618.6263816,4801143.208,437.6282863,0,0,138.7878788
6691686,0,3831311.766,3.286335345,0,0,3
6692030,0,3831589.838,3.286335345,0,0,3
6750878,0,3865399.06,3.286335345,0,0,3
90135358,663.162267,4629893.593,466.9389172,0,0,164.6666667
92,0,0,0,0,1,9
100964,669.956118,17847.16045,527.1894821,0,0,348.75
101525,670.3060495,17875.8815,527.3359408,0,0,348.5
99157,0,0,0,0,1,9
99661,0,0,0,0,1,9
5531988,0,3165729.503,3.033150178,0,0,3.5
273118,1131.503535,80563.94789,793.0373798,0,0,387.4285714
444372,0,0,0,0,1,9
596504,1131.503535,196373.0423,750.0771627,0,0,339.75
1542647,0,0,0,0,1,9
99720,0,0,0,0,1,9
264950,1130.16824,77391.38733,792.1895065,0,0,387.1428571
